ID,CreatedAt,Title,Excerpt
235769696,2021-04-14T16:10:54.919Z,同學 你的在學證明掉在薄膜了！,你要來對他負責嗎？
235767921,2021-04-14T12:09:40.801Z,誰的龍貓掉在蘊德樓外面,在蘊德樓外面地板看到一隻可愛的龍貓吊飾～希望他的主人趕快把他帶回家🥺🥺，目前寄放在蘊德樓舍媽那邊呦！！
235764800,2021-04-14T03:54:48.643Z,原鄉兒少健康議題 課程招生 #3學分 #深耕時數,各位同學好！，還沒完成你的深耕服務時數嗎？想到偏鄉服務卻不知道該去哪嗎？想學設計思考但不知從何開始嗎？今年暑期課程 「原鄉兒少健康議題」又開課了！，由護理系連心瑜老師開設，是一門有多種不同領域專業師資
235763125,2021-04-13T17:24:08.125Z,說到這個,其實每個週素質都差不多啦，很常遇到拿麥克風的人遇到認識的，然後就用麥克風很大聲的叫他過來買，甚至是隔空對話，說真的欸，原本想買的人都直接被氣走ㄌ
235761930,2021-04-13T14:45:31.932Z,深入 了解,請問這樣提早下課了，我原本該學習到的知識沒了，誰可以教我「深入」了解？要深入的那種。另外，這堂有實習嗎？
235761200,2021-04-13T13:18:47.934Z,徵求國粹愛好者,常常聽到宿舍晚上有卡拉卡拉的聲音，應該滿多人有這個相同的愛好的吧，小弟想創個群或許大家可以一起切磋牌技，有人有興趣的嗎，哦當然我們是絕對不可能賭博的啦，我們都以點數計分而已🀄️
235759303,2021-04-13T08:46:10.885Z,兩性關係,想問一下這週是停課嗎
235759133,2021-04-13T08:19:18.537Z,路易莎確定不進駐長庚,避免尷尬，我從落地窗外面拍攝，-，今天發現原伯朗咖啡的店舖已經裝潢得差不多了，原本看到咖啡機以為是路易莎的，但蛋糕櫃有點不像。-，後來我同學直接走進去問！笑死。真的直接走進去問說是不是路易莎，後來店員
235757674,2021-04-13T04:36:22.575Z,吵三小,更 護理週大幅改善 我給他們高度respect，我覺得他們很棒，護理週到底在哭啥，家裡出事是不是，可不可以安靜一點
235757024,2021-04-13T02:52:08.989Z,協尋筆電,乳題，昨天我的筆電失蹤，ASUS 深藍色的筆電，有用黑色袋子裝，麻煩好心人士撿到通知我一聲ಥ_ಥ
235756800,2021-04-13T01:59:13.124Z,長庚門診工作,各位學長姐好，今年六月要畢業了，想要在林口長庚門診工作，但有聽說門診班很花、很累、常要上兩頭班（上午診加夜診，下午空著）也沒週休二日，請問學長姐們有經驗可以跟我分享嗎，因為想要可以照顧家裡長輩跟狗狗，
235756611,2021-04-13T01:01:24.711Z,記憶中的管八是不是不見了,身為一個骨灰級長庚老骨頭 一路從大學部部念到碩士，上一次去管八好像是大二的時候，印象中就是一個可以看天空的超讚大平台啊，昨天心血來潮想要去找的時候完全找不到了，管八是有改建嗎，非常疑惑自己消息是不是更
235756549,2021-04-13T00:42:30.733Z,蒲公英週預購,蒲公英週預購來啦～創新的蛋捲、人氣超高的奶油酥條、經典的捲心酥以及美味的古早味蛋糕，等你來買！，趕快按下連結預購吧（ง'̀-'́）ง，另外，本次蒲公英週將會把所有盈餘捐給家扶基金會的扶幼捐款！邀請大家在享
235753810,2021-04-12T13:13:38.608Z,國防課免修,如題 我是大二下轉進來的新生，想請問一下關於國防課如果成功抵免的話，會在大一的成績單上面看到嗎
